participant,requirement_id,status,notes,evidence_json
P01,R1,issue,Capture exceeded the five-second acceptance threshold.,"{""completed"": true, ""duration_ms"": 14344, ""error_count"": 2, ""help_count"": 2, ""without_help"": true}"
P01,R2,issue,Direct block dismissal was observed inside the entry screen without a help request.,"{""completed"": false, ""help_count"": 0, ""without_help"": true}"
P01,R3,issue,Starter preference was checked across two newly created reflections.,"{""persisted"": true, ""predicted_correctly"": false, ""second_session_checked"": true}"
P01,R4,pass,The prepared journal appeared only after the explicit generation action.,"{""completed"": true, ""no_auto_generation"": true}"
P01,R5,issue,A source chip was inspected and the source relationship was understood.,"{""source_identified"": false, ""without_help"": true, ""writer_vs_system_distinguished"": false}"
P01,R6,pass,A complete entry was saved through blank writing without generation.,"{""blank_completed"": true, ""completed"": true}"
P01,R7,issue,Participant selected a subset and answered the selected-data comprehension check.,"{""selected_count"": 3, ""selected_only_understood"": false, ""unselected_count"": 0}"
P01,R8,issue,The deletion task was incomplete or its resulting state was not fully verified.,"{""critical_misunderstanding"": false, ""delete_independent"": false, ""predicted_correctly"": false}"
P01,R9,not_tested,"Behavior recorded, but R9 requires aged-45+ coverage before it is treated as validated.","{""age_45_plus"": false, ""completed"": true, ""help_count"": 0, ""tap_type_only"": true}"
P01,R10,critical,Processing-boundary comprehension was auto-scored from the participant checkpoint.,"{""critical_misunderstanding"": true, ""notice_explained"": false, ""predicted_correctly"": true}"
P01,R11,pass,,{}
P01,R12,pass,A generated passage was edited and the edited journal was saved.,"{""completed"": true, ""edit_saved_matches"": true}"
P01,R13,pass,Customization actions were observed before generation.,"{""custom_block_added"": true, ""question_edited"": false, ""reordered"": false, ""understood"": true}"
P01,R14,pass,Distinct save/export/save-nothing outcomes were observed across the guided tasks.,"{""export_understood"": true, ""predicted_correctly"": true, ""save_blocks_only_understood"": true, ""save_entry_understood"": true, ""save_nothing_understood"": true}"
P01,R15,pass,,"{""connection_created"": true, ""connection_labeled"": true, ""without_help"": true}"
P01,R16,pass,,"{""suggestion_accepted"": true, ""suggestion_rejected"": true, ""suggestion_requested"": true, ""suggestion_understood_optional"": true}"
P01,R17,pass,,"{""block_found"": true, ""duration_ms"": 1300, ""without_help"": true}"
P01,R18,pass,,"{""keyboard_only_completed"": false, ""without_help"": true}"
P02,R1,pass,Capture exceeded the five-second acceptance threshold.,"{""completed"": true, ""duration_ms"": 12386, ""error_count"": 2, ""help_count"": 3, ""without_help"": true}"
P02,R2,pass,Direct block dismissal was observed inside the entry screen without a help request.,"{""completed"": false, ""help_count"": 0, ""understood"": true, ""without_help"": true}"
P02,R3,pass,Starter preference was checked across two newly created reflections.,"{""persisted"": true, ""predicted_correctly"": true, ""second_session_checked"": true, ""understood"": true}"
P02,R4,pass,The prepared journal appeared only after the explicit generation action.,"{""completed"": true, ""critical_misunderstanding"": true, ""generation_cancelled"": true, ""no_auto_generation"": true, ""predicted_correctly"": true}"
P02,R5,pass,A source chip was inspected and the source relationship was understood.,"{""source_identified"": true, ""without_help"": true, ""writer_vs_system_distinguished"": true}"
P02,R6,pass,A complete entry was saved through blank writing without generation.,"{""blank_completed"": true, ""completed"": true, ""without_help"": true}"
P02,R7,pass,Participant selected a subset and answered the selected-data comprehension check.,"{""critical_misunderstanding"": false, ""predicted_correctly"": true, ""selected_count"": 4, ""selected_only_understood"": true, ""technical_check_passed"": false, ""unselected_count"": 0}"
P02,R8,critical,The participant showed a critical misunderstanding of the deletion scope.,"{""critical_misunderstanding"": true, ""delete_independent"": true, ""predicted_correctly"": false}"
P02,R9,pass,"Behavior recorded, but R9 requires aged-45+ coverage before it is treated as validated.","{""age_45_plus"": false, ""completed"": true, ""help_count"": 0, ""tap_type_only"": true, ""without_help"": true}"
P02,R10,critical,Processing-boundary comprehension was auto-scored from the participant checkpoint.,"{""critical_misunderstanding"": true, ""notice_explained"": false, ""predicted_correctly"": false}"
P02,R11,pass,,"{""reviewer_completed"": true, ""technical_check_passed"": true}"
