participant,task_id,requirement_ids,duration_ms,status,objective_json,comprehension_json
P01,quick-capture,R1|R9,21417,issue,"{""completed"": true, ""duration_ms"": 18627, ""within_5s"": false}","{""expected_behavior_correct"": true}"
P01,optional-structure,R2|R13,136407,issue,"{""answered_count"": 3, ""completed"": true, ""custom_block_added"": true, ""duration_ms"": 136407, ""task_success"": false, ""workspace_saved"": true}",{}
P01,persistent-default,R3,46527,issue,"{""completed"": true, ""duration_ms"": 46527, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": false}"
P01,blank-writing,R6,27100,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 27100}",{}
P01,generation-boundary,R4|R7|R10,52205,critical,"{""completed"": true, ""duration_ms"": 52205, ""generated_after_request"": true, ""generation_requested"": true, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 3, ""unselected_count"": 0}","{""correct_count"": 1, ""processor_correct"": false, ""selected_data_correct"": false, ""sent_already_correct"": true, ""total_count"": 3}"
P01,source-editing,R5|R12,49903,issue,"{""completed"": true, ""duration_ms"": 49903, ""journal_saved"": true, ""paragraph_edited"": true, ""task_success"": false}",{}
P01,retention-deletion,R8|R14,3792,issue,"{""completed"": true, ""duration_ms"": 3792, ""task_success"": false}",{}
P02,quick-capture,R1|R9,19596,issue,"{""completed"": true, ""duration_ms"": 16699, ""within_5s"": false}","{""expected_behavior_correct"": false}"
P02,optional-structure,R2|R13,124694,issue,"{""answered_count"": 3, ""completed"": true, ""custom_block_added"": true, ""duration_ms"": 124694, ""task_success"": false, ""workspace_saved"": true}",{}
P02,persistent-default,R3,37957,issue,"{""completed"": true, ""duration_ms"": 37957, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": false}"
P02,blank-writing,R6,33517,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 33517}",{}
