participant,device_type,age_group,text_editing_experience,session_date,session_completed,session_duration_s,n_requirements_recorded,n_pass,n_issue,n_critical,n_not_tested,n_tasks_completed,n_events,n_help_requests,capture_duration_ms,capture_within_5s,capture_help_count,capture_error_count,privacy_selected_data_correct,privacy_processor_correct,privacy_sent_already_correct,privacy_correct_count,source_meaning_correct,delete_scope_correct,retention_state_correct,capture_expectation_correct,preference_prediction_correct,sus_score,ease_rating,control_rating,privacy_clarity_rating,has_comments,governance_reviewed,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,R1_status,R2_status,R3_status,R4_status,R5_status,R6_status,R7_status,R8_status,R9_status,R10_status,R11_status,R12_status,R13_status,R14_status,R15_status,R16_status,R17_status,R18_status,quick-capture_ms,quick-capture_status,optional-structure_ms,optional-structure_status,persistent-default_ms,persistent-default_status,blank-writing_ms,blank-writing_status,generation-boundary_ms,generation-boundary_status,source-editing_ms,source-editing_status,retention-deletion_ms,retention-deletion_status,gov_data_flow_ok,gov_retention_ok,gov_processing_notice_ok,gov_prompt_wording_ok,gov_explainability_ok,gov_trust_calibration_ok,gov_human_control_ok,gov_fairness_ok,gov_prompt_flags_count
P01,desktop,25_44,comfortable,2026-09-20,1,1216,18,10,6,1,1,7,56,2,14344,0,2,2,False,False,True,1,,,,True,False,47.5,3,4,4,0,1,2,4,3,2,5,4,3,4,3,3,issue,issue,issue,pass,issue,pass,issue,issue,not_tested,critical,pass,pass,pass,pass,pass,pass,pass,pass,21417,issue,136407,issue,46527,issue,27100,pass,52205,critical,49903,issue,3792,issue,0,0,0,1,1,1,0,1,2
P02,desktop,18_24,comfortable,2026-09-20,1,795,18,13,3,2,0,7,50,0,12386,0,3,2,False,True,False,1,,False,True,False,False,45.0,3,3,5,0,0,3,2,2,3,3,2,1,4,3,3,pass,pass,pass,pass,pass,pass,pass,critical,pass,critical,pass,pass,issue,pass,pass,pass,issue,issue,19596,issue,124694,issue,37957,issue,33517,pass,70687,critical,40825,issue,8922,critical,,,,,,,,,
P03,tablet,25_44,comfortable,2026-09-20,1,1216,18,9,8,1,0,7,63,1,29334,0,0,,True,True,False,2,True,,,True,True,77.5,3,3,3,1,1,4,4,3,1,5,2,5,1,5,3,issue,issue,pass,pass,pass,pass,issue,issue,pass,critical,pass,issue,issue,issue,pass,pass,issue,pass,45401,issue,132718,issue,66161,pass,64480,pass,177991,critical,20325,issue,27720,issue,0,0,0,1,1,1,1,1,0
P04,desktop,60_plus,limited,2026-09-20,1,483,15,4,10,1,0,7,30,1,26507,0,0,,False,False,False,0,,,,False,True,40.0,5,3,3,0,0,3,4,2,4,4,3,1,4,3,2,issue,issue,pass,pass,issue,pass,issue,issue,pass,critical,issue,issue,issue,issue,issue,,,,18343,issue,108307,issue,50509,pass,72771,pass,18937,critical,15718,issue,4065,issue,,,,,,,,,
P05,desktop,45_59,comfortable,2026-09-20,1,386,18,9,8,1,0,7,28,0,15257,0,0,,False,True,False,1,False,,,False,True,72.5,3,3,4,0,1,3,3,3,2,4,1,4,1,5,3,issue,issue,pass,pass,issue,pass,issue,issue,pass,critical,pass,issue,issue,issue,pass,pass,pass,pass,17464,issue,46148,issue,24657,pass,28864,pass,36101,critical,8985,issue,4206,issue,0,0,0,1,1,1,1,1,0
P06,desktop,45_59,comfortable,2026-09-20,1,337,18,8,9,1,0,7,27,0,14933,0,0,,False,True,False,1,False,,,False,False,75.0,4,3,4,0,0,4,3,4,4,4,1,5,1,5,3,issue,issue,issue,pass,issue,pass,issue,issue,pass,critical,pass,issue,issue,issue,pass,pass,pass,pass,19344,issue,39203,issue,46685,issue,28945,pass,18633,critical,11992,issue,3752,issue,,,,,,,,,
P07,desktop,45_59,some,2026-09-20,1,441,18,9,8,1,0,7,27,0,9123,0,0,,False,False,False,0,True,,,True,False,92.5,3,3,5,0,0,5,2,5,2,5,1,5,2,5,1,issue,issue,issue,pass,pass,pass,issue,issue,pass,critical,pass,issue,issue,issue,pass,pass,pass,pass,11717,issue,40999,issue,25137,issue,36337,pass,15248,critical,8899,issue,1725,issue,,,,,,,,,
P08,desktop,25_44,advanced,2026-09-20,1,226,18,17,0,0,1,7,45,0,4180,1,0,0,True,True,True,3,True,True,True,True,True,80.0,5,5,4,0,0,4,2,5,2,4,2,5,2,4,2,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,not_tested,pass,pass,pass,pass,pass,pass,pass,9200,pass,61400,pass,31500,pass,24800,pass,44300,pass,33600,pass,52700,pass,,,,,,,,,
P09,desktop,60_plus,limited,2026-09-20,1,376,18,3,11,3,1,7,48,13,31450,0,2,3,False,False,False,0,False,False,False,False,False,27.5,2,2,1,0,0,2,4,2,4,3,4,2,4,2,4,issue,issue,issue,pass,issue,pass,issue,critical,pass,critical,not_tested,issue,issue,issue,issue,issue,issue,critical,48600,issue,214800,issue,96400,issue,88200,pass,132500,critical,118900,issue,104300,critical,,,,,,,,,
P10,desktop,45_59,comfortable,2026-09-20,1,346,18,12,4,1,1,7,46,2,8600,0,0,1,False,True,True,2,True,True,True,True,True,57.5,4,3,2,0,0,3,3,4,3,4,3,3,3,4,3,issue,pass,pass,pass,pass,pass,issue,pass,pass,critical,not_tested,pass,issue,pass,pass,pass,pass,issue,19400,issue,118600,issue,52300,pass,41700,pass,74900,critical,63200,pass,68500,pass,,,,,,,,,
