participant,seq,event_type,seconds_from_start,metadata_json
P01,1,evaluation_started,0,"{""screen"": ""evaluation""}"
P01,2,screen_view,0,"{""screen"": ""participant-evaluation""}"
P01,3,quick_capture_screen_shown,5,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P01,4,quick_capture_screen_shown,5,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P01,5,quick_capture_timed,24,"{""char_count"": 50, ""duration_ms"": 18627, ""requirement_id"": ""R1"", ""success"": true, ""task_id"": ""quick-capture""}"
P01,6,block_added,42,"{""block_count"": 1, ""category"": ""situation"", ""task_id"": ""optional-structure""}"
P01,7,block_added,69,"{""block_count"": 2, ""category"": ""situation"", ""task_id"": ""optional-structure""}"
P01,8,connection_created,73,"{""connection_count"": 1, ""relation_type"": ""related_to"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P01,9,custom_block_added,139,"{""block_count"": 3, ""category"": ""situation"", ""requirement_id"": ""R13"", ""task_id"": ""optional-structure""}"
P01,10,connection_created,158,"{""connection_count"": 2, ""relation_type"": ""related_to"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P01,11,workspace_saved,165,"{""answered_count"": 3, ""block_count"": 3, ""connection_count"": 2, ""task_id"": ""optional-structure""}"
P01,12,prompt_default_changed,199,"{""action"": ""starter"", ""requirement_id"": ""R3"", ""success"": true, ""task_id"": ""persistent-default""}"
P01,13,quick_capture_screen_shown,200,"{""task_id"": ""persistent-default""}"
P01,14,quick_capture_screen_shown,200,"{""task_id"": ""persistent-default""}"
P01,15,quick_capture_timed,215,"{""char_count"": 32, ""duration_ms"": 15036, ""success"": true, ""task_id"": ""persistent-default""}"
P01,16,quick_capture_screen_shown,228,"{""task_id"": ""persistent-default""}"
P01,17,quick_capture_screen_shown,228,"{""task_id"": ""persistent-default""}"
P01,18,quick_capture_timed,242,"{""char_count"": 32, ""duration_ms"": 14344, ""success"": true, ""task_id"": ""persistent-default""}"
P01,19,free_writing_created,280,"{""char_count"": 58, ""task_id"": ""blank-writing""}"
P01,20,generation_privacy_notice_shown,330,"{""requirement_id"": ""R10"", ""selected_count"": 3, ""source_count"": 3, ""task_id"": ""generation-boundary"", ""unselected_count"": 0}"
P01,21,journal_generation_started,351,"{""requirement_id"": ""R4"", ""selected_count"": 3, ""source_count"": 3, ""task_id"": ""generation-boundary"", ""unselected_count"": 0}"
P01,22,journal_generated,351,"{""source_count"": 3, ""success"": true, ""task_id"": ""generation-boundary""}"
P01,23,journal_saved,355,"{""source_count"": 4, ""task_id"": ""generation-boundary""}"
P01,24,journal_paragraph_edited,397,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P01,25,journal_paragraph_edited,398,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P01,26,journal_paragraph_edited,398,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P01,27,journal_paragraph_edited,398,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P01,28,journal_paragraph_edited,398,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P01,29,journal_paragraph_edited,399,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P01,30,journal_paragraph_edited,399,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P01,31,journal_paragraph_edited,399,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P01,32,journal_paragraph_edited,399,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P01,33,journal_paragraph_edited,399,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P01,34,journal_saved,409,"{""source_count"": 4, ""task_id"": ""source-editing""}"
P01,35,delete_action,449,"{""action"": ""generated_journal"", ""task_id"": ""retention-deletion""}"
P01,36,participant_help_requested,512,"{""help_count"": 1}"
P01,37,participant_help_requested,513,"{""help_count"": 2}"
P01,38,screen_view,677,"{""screen"": ""evaluation""}"
P01,39,evaluation_requirement_saved,982,"{""requirement_id"": ""R1"", ""success"": true}"
P01,40,evaluation_requirement_saved,1004,"{""requirement_id"": ""R5"", ""success"": true}"
P01,41,evaluation_requirement_saved,1008,"{""requirement_id"": ""R3"", ""success"": true}"
P01,42,evaluation_requirement_saved,1013,"{""requirement_id"": ""R2"", ""success"": true}"
P01,43,evaluation_requirement_saved,1021,"{""requirement_id"": ""R9"", ""success"": true}"
P01,44,evaluation_requirement_saved,1027,"{""requirement_id"": ""R10"", ""success"": true}"
P01,45,evaluation_requirement_saved,1037,"{""requirement_id"": ""R11"", ""success"": true}"
P01,46,evaluation_requirement_saved,1044,"{""requirement_id"": ""R13"", ""success"": true}"
P01,47,evaluation_requirement_saved,1051,"{""requirement_id"": ""R14"", ""success"": true}"
P01,48,evaluation_requirement_saved,1063,"{""requirement_id"": ""R15"", ""success"": true}"
P01,49,evaluation_requirement_saved,1077,"{""requirement_id"": ""R13"", ""success"": true}"
P01,50,evaluation_requirement_saved,1079,"{""requirement_id"": ""R14"", ""success"": true}"
P01,51,evaluation_requirement_saved,1080,"{""requirement_id"": ""R15"", ""success"": true}"
P01,52,evaluation_requirement_saved,1087,"{""requirement_id"": ""R16"", ""success"": true}"
P01,53,evaluation_requirement_saved,1104,"{""requirement_id"": ""R17"", ""success"": true}"
P01,54,evaluation_requirement_saved,1114,"{""requirement_id"": ""R18"", ""success"": true}"
P01,55,evaluation_governance_saved,1173,"{""requirement_id"": ""R11"", ""success"": true}"
P01,56,evaluation_completed,1216,"{""success"": true}"
P02,1,evaluation_started,0,"{""screen"": ""evaluation""}"
P02,2,screen_view,0,"{""screen"": ""participant-evaluation""}"
P02,3,quick_capture_screen_shown,2,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P02,4,quick_capture_screen_shown,2,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P02,5,quick_capture_timed,18,"{""char_count"": 40, ""duration_ms"": 16699, ""requirement_id"": ""R1"", ""success"": true, ""task_id"": ""quick-capture""}"
P02,6,block_added,33,"{""block_count"": 1, ""category"": ""situation"", ""task_id"": ""optional-structure""}"
P02,7,block_added,38,"{""block_count"": 2, ""category"": ""feelings"", ""task_id"": ""optional-structure""}"
P02,8,connection_created,44,"{""connection_count"": 1, ""relation_type"": ""made_me_feel"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P02,9,custom_block_added,114,"{""block_count"": 3, ""category"": ""situation"", ""requirement_id"": ""R13"", ""task_id"": ""optional-structure""}"
P02,10,connection_created,123,"{""connection_count"": 2, ""relation_type"": ""led_to"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P02,11,workspace_saved,150,"{""answered_count"": 3, ""block_count"": 3, ""connection_count"": 2, ""task_id"": ""optional-structure""}"
P02,12,prompt_default_changed,159,"{""action"": ""starter"", ""requirement_id"": ""R3"", ""success"": true, ""task_id"": ""persistent-default""}"
P02,13,quick_capture_screen_shown,160,"{""task_id"": ""persistent-default""}"
P02,14,quick_capture_screen_shown,160,"{""task_id"": ""persistent-default""}"
P02,15,quick_capture_timed,175,"{""char_count"": 43, ""duration_ms"": 14906, ""success"": true, ""task_id"": ""persistent-default""}"
P02,16,quick_capture_screen_shown,180,"{""task_id"": ""persistent-default""}"
P02,17,quick_capture_screen_shown,180,"{""task_id"": ""persistent-default""}"
